algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
BLoCNet,5.993,125.667,0.978,0.978,0.978,0.978,0.978,0.972,0.957,0.972,0.022,0.022,0.038,0.074,0.272,0.978,96.282
constructive_learning,0.016,1.575,0.989,0.989,0.989,0.989,0.989,0.987,0.979,0.987,0.011,0.011,0.019,0.038,0.196,0.990,98.073
AIS,0.979,28.238,0.995,0.995,0.995,0.995,0.995,0.994,0.991,0.994,0.005,0.005,0.008,0.016,0.126,0.995,99.198
GBBK,0.096,0.148,0.608,0.676,0.608,0.543,0.553,0.560,0.423,0.513,0.392,0.392,0.493,0.740,0.860,0.619,64.039
GE SVM,33.235,60.519,0.948,0.948,0.948,0.948,0.948,0.935,0.902,0.935,0.052,0.052,0.084,0.158,0.398,0.947,92.056
Hidden Naive Bayes (HNB),0.102,0.152,0.608,0.676,0.608,0.543,0.553,0.560,0.423,0.513,0.392,0.392,0.493,0.740,0.860,0.619,64.039
HistGradientBoostingClassifier,0.660,33.698,0.995,0.995,0.995,0.995,0.995,0.994,0.990,0.994,0.005,0.005,0.008,0.016,0.128,0.995,99.175
IGRF-RFE with k-fold Cross-Validation,0.011,1.054,0.988,0.988,0.988,0.988,0.988,0.985,0.977,0.985,0.012,0.012,0.020,0.041,0.202,0.989,97.954
ICA,0.757,87.755,0.991,0.991,0.991,0.991,0.991,0.989,0.983,0.989,0.009,0.009,0.013,0.024,0.155,0.992,98.791
Lasso Regression,0.005,356.891,0.917,0.918,0.917,0.917,0.918,0.896,0.849,0.896,0.083,0.083,0.135,0.263,0.513,0.917,86.783
Meta (KNN),39.838,0.641,0.988,0.988,0.988,0.988,0.988,0.984,0.976,0.984,0.012,0.012,0.020,0.039,0.198,0.988,98.026
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.907,946.148,0.562,0.588,0.562,0.564,0.576,0.455,0.394,0.451,0.438,0.438,0.780,1.671,1.293,0.560,22.305
Projected Gradient Descent (PGD),0.026,85.460,0.976,0.976,0.976,0.976,0.976,0.970,0.954,0.970,0.024,0.024,0.041,0.083,0.289,0.977,95.819
PCA,0.000,3.658,0.984,0.984,0.984,0.984,0.984,0.979,0.968,0.979,0.016,0.016,0.025,0.045,0.213,0.984,97.725
RBF,30.188,52.397,0.948,0.949,0.948,0.948,0.948,0.935,0.903,0.935,0.052,0.052,0.083,0.157,0.397,0.948,92.097
Stacked Convolutional Neural Networks with k-fold Cross-Validation,8.121,233.345,0.979,0.979,0.979,0.979,0.979,0.974,0.960,0.974,0.021,0.021,0.035,0.070,0.265,0.980,96.471
Simulated Annealing (SA),0.000,141.870,0.390,0.161,0.390,0.228,0.183,0.295,0.159,0.232,0.610,0.610,1.327,3.072,1.753,0.382,-41.320
SVM with Optimization and k-fold Cross-Validation,9.572,88.541,0.935,0.935,0.935,0.935,0.935,0.919,0.879,0.918,0.065,0.065,0.104,0.200,0.447,0.935,89.969
Stacking Classifier,4.705,167.882,0.992,0.992,0.992,0.992,0.992,0.991,0.985,0.991,0.008,0.008,0.013,0.024,0.155,0.993,98.793
Stacking Dilated Convolutional Autoencoders,0.041,8.022,0.988,0.988,0.988,0.988,0.988,0.985,0.977,0.985,0.012,0.012,0.020,0.040,0.200,0.989,97.990
Temporal Deep Feedforward Neural Network,6.379,159.826,0.964,0.964,0.964,0.964,0.964,0.955,0.932,0.955,0.036,0.036,0.060,0.116,0.340,0.965,94.194
Voting Classifier,0.501,3.110,0.989,0.989,0.989,0.989,0.989,0.987,0.979,0.987,0.011,0.011,0.018,0.037,0.192,0.990,98.153
GBT,0.411,289.492,0.989,0.989,0.989,0.989,0.989,0.986,0.978,0.986,0.011,0.011,0.020,0.042,0.205,0.989,97.886
CART,0.016,2121.613,0.217,0.420,0.217,0.079,0.062,0.029,0.048,0.002,0.783,0.783,1.351,2.858,1.691,0.201,0.122
